scenario,model,metric,mean,std,n
cold,CAFNet,mAP,0.3395400820003932,0.023513206176484384,10
cold,CAFNet,AUROC,0.7959555570948507,0.01452018930909416,10
cold,CAFNet,AUPR,0.2517792687575612,0.030415157801960524,10
cold,CAFNet,nDCG@10,0.49228147468638445,0.04302846698221999,10
cold,CAFNet,P@1,0.5106666666666666,0.08664957096343955,10
cold,CAFNet,P@15,0.4530666666666667,0.03713775933903769,10
cold,CAFNet,R@15,0.23046321357531546,0.018726343316987748,10
cold,CAFNet,Spearman,0.38579183353393875,0.054303692624974344,10
cold,CAFNet,RMSE,1.7541730654651768,0.07534214106674976,10
cold,CAFNet,MAE,1.3939221065645429,0.06615487976568428,10
cold,CAFNet,QWK,0.2377689533770325,0.03442041968910683,10
cold,CAFNet,Within1,0.6205860537493696,0.03396928362605398,10
cold,A3Net,mAP,0.3331535625684938,0.028409279861318106,10
cold,A3Net,AUROC,0.7952298670072379,0.027093215875227013,10
cold,A3Net,AUPR,0.23948744384608828,0.033610049220493605,10
cold,A3Net,nDCG@10,0.4778791811966454,0.05947765445043344,10
cold,A3Net,P@1,0.484,0.07358206974293616,10
cold,A3Net,P@15,0.4415111111111111,0.050281490211483613,10
cold,A3Net,R@15,0.22474156616473331,0.022128831325119166,10
cold,A3Net,Spearman,0.39245770118012674,0.05201200465321634,10
cold,A3Net,RMSE,1.7115929743551554,0.07563866287736644,10
cold,A3Net,MAE,1.3555335045617818,0.08358231669237523,10
cold,A3Net,QWK,0.24210054189684332,0.03372250375418483,10
cold,A3Net,Within1,0.6353283580347975,0.03519652089034553,10
cold,CAFNet-D,mAP,0.4049613348579708,0.023966702498752084,10
cold,CAFNet-D,AUROC,0.8175610655210932,0.023313187090091197,10
cold,CAFNet-D,AUPR,0.29948808058244814,0.03240705466927247,10
cold,CAFNet-D,nDCG@10,0.623158519667039,0.040034057456366096,10
cold,CAFNet-D,P@1,0.7066666666666667,0.061584028713560085,10
cold,CAFNet-D,P@15,0.5267555555555554,0.04312144460602908,10
cold,CAFNet-D,R@15,0.274083236259569,0.02113600129238335,10
cold,CAFNet-D,Spearman,0.46399719965295744,0.03655107084952126,10
cold,CAFNet-D,RMSE,1.1650093271029587,0.09655784363381412,10
cold,CAFNet-D,MAE,0.8294381827321473,0.07006390067637852,10
cold,CAFNet-D,QWK,0.377471152452762,0.03877526835663251,10
cold,CAFNet-D,Within1,0.8411448500893307,0.029516856486429204,10
cold,CAFNet-DG,mAP,0.41335371128662557,0.024799986050849425,10
cold,CAFNet-DG,AUROC,0.8257332421038228,0.020982520424338687,10
cold,CAFNet-DG,AUPR,0.30663229296668065,0.033453176671805,10
cold,CAFNet-DG,nDCG@10,0.6262305335070517,0.04344324287675776,10
cold,CAFNet-DG,P@1,0.7133333333333333,0.06599663291074444,10
cold,CAFNet-DG,P@15,0.5264888888888889,0.04321265881695059,10
cold,CAFNet-DG,R@15,0.2727215657853247,0.019161821394250343,10
cold,CAFNet-DG,Spearman,,,0
cold,CAFNet-DG,RMSE,,,0
cold,CAFNet-DG,MAE,,,0
cold,CAFNet-DG,QWK,,,0
cold,CAFNet-DG,Within1,,,0
cold,DSGAT,mAP,0.38909261485156615,0.026253444936509298,10
